Common_Name,Family,Location,Dimensions,Description,Scientific_Name
eastern_destroying_angel,Amanitaceae,"North America, Mexico","Cap 3-10 cm diameter, stem 6-14 cm tall * 0.7-1.8 cm thick","Amanita bisporigera, commonly known as Eastern destroying angel or Death Angel is the most widely distributed and commonly encountered ""destroying angel"" of eastern North America. Like other members of the species group, it features stark white colours and a prominent sack around the base of the stem, along with a bald cap that almost always lacks patches or warts. It grows mainly in mixed coniferous and deciduous forests.

Cap egg-shaped to convex to somewhat flattened. Surface smooth and white, sometimes with a pale tan- or cream-coloured tint in the center. The surface is either dry or slightly sticky when the environment is moist. The flesh is thin and white, and does not change colour when bruised. The margin of the cap is rolled inwards in young specimens. Gills white and crowded closely together. They are either free from attachment to the stipe or just barely reach it. Stem thick, solid and tapers slightly upward. The surface, in young specimens especially, is frequently fibrillose (covered with small slender fibers), or squamulose (covered with small scales). The bulb at the base of the stipe is spherical or nearly so. The delicate ring on the upper part of the stipe is a remnant of the partial veil that extends from the cap margin to the stalk and covers the gills during development. It is white, thin, membranous, and hangs like a skirt. Spore print white.

Microscopic Features: The spores measure 7-10 碌m in length and 6-9 碌m in width. They have a smooth surface and are globose to subglobose or very broadly ellipsoid in shape. Additionally, they exhibit amyloid staining.


Amanita bisporigera on the MushroomExpert.Com Web site.


Amanita bisporigera on the NC State Partners Web site.

The first and third photo is by Huafang and licensed under the Creative Commons Attribution 3.0 Unported license.",amanita_bisporigera
solitary_lepidella,Amanitaceae,North America,"Cap 7鈥?5 cm diameter, stem 10鈥?0 cm tall * 1鈥? cm diameter","Amanita cokeri, also known as Solitary Lepidella, is a medium to large agaric with a white cap and a shiny surface that is sticky when wet. The mushroom grows solitary or in small groups in the woods in summer.

Cap white in colour, convex, then flat, with large white to pale brownish pyramidal warts over the centre. The warts are smaller and gradually become more cottony toward the margin. Gills crowded, free or narrowly attached to the stem, broad and white. Stem  white, solid and tapers slightly to the top. It is smooth to shaggy in texture. The mushroom ha as a ring that is thick and often double-edged, the underside being tissuelike. Spore print white.

Microscopic Features: The spores measure 10-13 碌m in length and 6-7.5 碌m in width. They have an elliptical shape, smooth surface, and exhibit amyloid staining.

Amanita cokeri on Wikipedia.

Amanita cokeri on the MushroomExpert.Com Web site.",amanita_cokeri
tawny_grisette,Amanitaceae,"North America, Europe","Cap 4-9 cm diameter, stem 7-12 cm tall * 0.8-1.2 cm diameter","Amanita fulva, also known as Tawny grisette, is a medium-sized agaric with distinctive tawny cap and white gills, no ring and usually without cap patches but with volval bag. It grows solitary or scattered on soil in mixed woodlands, favouring birch.

Cap oval to ovoid, becoming broadly convex or nearly flat. It is initially sticky, particularly when wet, and may be tawny brown to brown in colour. The cap may have a few scattered white to tawny patches, but it is otherwise bald. The margin of the cap is prominently lined or grooved. As the mushroom matures, the cap becomes orange-brown, paler towards the margin, and darker, even very dark brown, in the centre. The cap develops an umbo when expanded, and the margin becomes strongly striated. The flesh is white and brittle. Gills free from the stem or slightly attached to it. They are whitish in colour, and are either close or nearly crowded. Short-gills are infrequent. Stem whitish or pallid cap colour, narrower towards the apex and arising from a white volval bag that fits loosely around the stem. Hollow in mature specimens. The stem has no ring. Spore print white.

Microscopic Features: The spores are approximately spherical, smooth, and measure 9.5-12.5 碌m in length and 9.7-12.5 碌m in width. They are nonamyloid.

Amanita fulva on the First Nature Web site.


Amanita fulva on the MushroomExpert.Com Web site.",amanita_fulva
jackson's_slender_amanita,Amanitaceae,North America,"Cap 8鈥?2 cm wide, stem 9-14 cm tall * 0.9-1.6 cm diameter","Amanita jacksonii, also known as Jackson's slender amanita is a medium to large mushroom with a brilliant red or orange cap. It grows solitary or in small clumps on soil in hardwood forests.

Cap starts as an oval shape and then becomes convex, usually with a bump in the centre. It is sticky when fresh and has a bright red or orange colour that fades to orange or yellow towards the margin. The surface of the cap is smooth, without warts or patches. The margin is lined with long streaks that extend inward from the lighter coloured edge of the cap. The flesh is whitish to pale yellow, not staining on exposure. Gills moderately crowded to crowded, orange-yellow to yellow-orange to yellow. They are free from the stem or slightly attached to it. Stem yellow with orange to reddish fibres, typically slender, slightly tapering upward. The interior is hollow and has a yellow membranous ring near the apex. The volva is large, white and sacklike. Spore print white.

Microscopic Features: The spores are ellipsoid in shape, measuring 8-11 碌m in length and 5-6.5 碌m in width. They have a smooth surface and are inamyloid.

Similar species include Amanita caesarea which is found in Europe and North Africa and Amanita muscaria which sometimes lack patches because the rain has washed them away.

Amanita jacksonii on the MushroomExpert.Com Web site.",amanita_jacksonii
fly_amanita,Amanitaceae,"North America, Europe, Asia",Cap 8-10 cm diameter; stem 8-18 cm tall * 1-2 cm diameter,"Amanita muscaria, commonly known as the Fly Agaric or Fly Amanita, is a medium to large, fleshy agaric, with a red cap, white patches, white gills, a ring, and a bulbous base. It grows scattered or in groups on poor and sandy soils and the fruiting bodies emerge from the soil looking like white eggs.

Cap first round to hemispherical, and finally to plate-like and flat in mature specimens, often with a low, shallow depression on disk when fully expanded. Surface shiny, deep scarlet, fading to orange-red or orange-yellow in older specimens, adorned with numerous small, cottony warts that are initially yellow but very quickly fade to white. Gills white, free or barely touching the stem, crowded. Stem white, robust, and has a slightly brittle, fibrous texture. At the base is a bulb that bears universal veil remnants in the form of two to four distinct rings or ruffs. Between the basal universal veil, remnants and gills are remnants of the partial veil (which covers the gills during development) in the form of a white ring. It can be quite wide and flaccid with age. Spore print white.

Microscopic Features: The spores are ellipsoidal in shape and measure 8.2-13 渭m in length and 6.5-9 渭m in width. They are inamyloid.

Amanita muscaria on the First Nature Web site.

Amanita muscaria var. flavivolvata on the MushroomExpert.Com Web site.
",amanita_muscaria
panther_amanita,Amanitaceae,"North America, Europe, Western Asia","Cap 5-12 cm diameter, stem 8-12 cm tall * 1-1.5 cm diameter","Amanita pantherina, also known as the Panther cap or Panther amanita, is a medium to large fleshy agaric with a brownish cap, pure white patches, white stem, ring, and bulbous base with distinct margin. It grows solitary or in small groups on soil under conifers or in mixed hardwood-conifer forests.

Cap initially domed and later flattens out, with a very finely striated margin. It is shiny brown or grey-brown and has densely distributed warts that are pure white to sordid cream in colour. These warts are minutely verruculose and can be easily removed. Gills free, close to crowded, white becoming greyish, truncate and fairly broad. Stem subcylindrical, white, becoming slightly tannish in age, stuffed then hollow, finely floccose becoming smooth above the white ring that is initially quite chunky but often becomes thin and floppy in more mature specimens, sometimes with a toothed edge. The stem tapers towards the apex and ends in a swollen basal bulb. Spore print white.

Microscopic Features: The spores are broadly ellipsoidal to ovoid in shape, with a smooth surface. They measure 8-12 碌m in length and 6.7-7.5 碌m in width. They are inamyloid.

Similar species include Amanita rubescens, which also can have a brownish cap but its stem and cap flesh turn pink or red when damaged.

Amanita pantherina on the First Nature Web site.

Amanita pantherina on the MushroomExpert.Com Web site.",amanita_pantherina
death_cap_amanita,Amanitaceae,"North America, Europe, Northern Africa and parts of Asia","Cap 6-12 cm diameter, stem 7-12 cm tall * 1 - 1.5 cm thick","Amanita phalloides, commonly known as the Death Cap is a medium to large, fleshy agaric with a greenish olive cap, whitish stem, and ring, no patches but a distinctive volval sheath. As the volva, which may be hidden by leaf litter, is a distinctive and diagnostic feature. It is important to remove some debris to check for it.

Cap at first round to egg-shaped and then flat and varies greatly in colour from grey-white to green and yellow-brown, with darker innate radial fibrillae, which start from the centre and branch out towards the margin. Sometimes with lots of veil remnants. The margin is usually not striate. The flesh is white throughout, unchanging when sliced. Gills free, close or crowded, broad, white but sometimes with a slight greenish tint. Stem more or less equal, or it may taper towards the apex and flare towards the swollen base. The stem also features a white, skirt-like ring that typically persists but can sometimes be lost. Finally, the stem has a sack-like white volva that encases the base, which may be visible above ground or may be broken up or underground. Spore print white.

Microscopic Features: The spores are ellipsoidal to subglobose in shape, with a smooth surface. They measure 7.5-10 碌m in length and 6-7 碌m in width. They are inamyloid.

Amanita phalloides on the First Nature Web site.

Amanita phalloides on the MushroomExpert.Com Web site.

The first photo is by Archenzo under the CC BY-SA 3.0 license.",amanita_phalloides
grey_veiled_amanita,Amanitaceae,"North America, Europe",Cap 4-10 cm diameter; stem 5-12 cm tall * 1-1.5 cm diameter,"Amanita porphyria, also known as Grey veiled amanita, is a medium to large, fleshy agaric that has a greyish brown cap, sometimes with grey patches, white gills, ring and a broad, abrupt bulb at the base. The mushroom grows scattered on the ground under conifers and less commonly in mixed conifer-hardwood forests.

Cap hemispherical when young, then convex and finally flattening, greyish brown to brown in colour, darker in the centre and often appearing to be radially lined with purplish-brown fibres. Usually smooth, sometimes with grey patches. The flesh is white with a smell of radish. Gills soft, crowded, white and free from the stem. Stem tapers towards the apex and is whitish, with fine striations above the ring. As the fruit body matures, violaceous grey-brown longitudinal fibres become increasingly evident below the ring. A superior persistent white ring is present, but it soon collapses against the surface of the stem. The volva is made up of short, irregular whitish plaques on the bulbous stem base. Spore print white.

Microscopic Features: The spores are globose or sub-globose in shape, occasionally broadly ellipsoidal. They measure 7.2-9 碌m in length and 7.8-11 碌m in width. They are amyloid.

Amanita porphyria on the First Nature Web site.

Amanita porphyria on the MushroomExpert.Com Web site.",amanita_porphyria
royal_fly_agaric,Amanitaceae,Europe,"Cap 5-10 cm diameter, stem 6-12 cm tall * 1.5-2.5 cm thick","Amanita regalis, commonly known as the Royal Fly Agaric, is a medium to large agaric with a brown, fleshy cap featuring patches. It has white gills, a ring, and a basal bulb. This mushroom typically grows solitarily or scattered on the forest floor in mixed woods.

Cap initially egg-shaped, then becomes convex and eventually flattens out. It is smooth and slightly greasy in damp conditions, and is glossy brown. The cap usually retains irregular whitish-grey fragments of the universal veil. The flesh is white firm and medium. Gills crowded close together, free from attachment to the stem, and white with a creamy yellow tinge. Stem white, smooth, lined above the ring. The ring is large white and fairly firm, superior. Spore print white.

Microscopic Features: The spores are broadly ellipsoidal, measuring 8-10 渭m in length and 6-7 渭m in width. They are inamyloid.

Amanita regalis on the www.first-nature.com web site.
",amanita_regalis
blushing_amanita,Amanitaceae,"North America, Europe","Cap 6-15 cm diameter, stem 6-15 cm tall * 1-2.5 cm thick","Amanita rubescens, also known as Blushing Amanita, is a large, rosy-brown, fleshy agaric that has cap patches, white gills, a bulbous base, and a ring on the stem. A significant characteristic is that it blushes when bruised or cut, and is since also called the blusher. It grows solitary or scattered on soil in woods generally.

Cap pinkish-brown with grey to pink patches on the surface. At first, it is sub-spherical, becoming convex and finally flattened. The flesh is moderately firm and white, becoming brownish pink were cut or damaged. Gills crowded, soft, white to off-white, free from the stem, with pink tinges appearing on damaged areas. Stem downy, grey, white, or pink, bears a prominent pendent ring with furrows on its upper surface. The base is swollen and girdled and lacks a sacklike volva. Spore print white. 

Microscopic Features: The spores are broadly ellipsoidal to ovoid in shape, with a smooth surface. They measure 8-9 碌m in length and 5-5.5 碌m in width. They are amyloid.

Similar species include Amanita pantherina.

Amanita rubescens on the First Nature Web site.

Amanita rubescens on the MushroomExpert.Com Web site.",amanita_rubescens
grisette,Amanitaceae,"North America, Europe","Cap 5-9 cm diameter, stem 13-20 cm tall * 1.5-2 cm diameter","Amanita vaginata, also known as Grisette, is a medium-sized greyish, fleshy agaric with a volval bag but no ring or cap patches. It grows solitary or scattered on soil in broad-leaf woods and on heaths. It fruits during summer and autumn.

Cap ovoid, expanding to almost flat, featuring a central bump. It's initially sticky, especially when wet. Colour ranges from grey to greyish brown, occasionally displaying scattered white to greyish patches. The margin is prominently lined or grooved for up to 1 cm or more. The cap flesh is white and firm. Gills free from the stem or slightly attached to it, white, close or crowded. Stem white or tinged with the cap colour, tapering only slightly (narrower near the cap). The base is enclosed in a sacklike, white volva that fits loosely and sometimes discolours greyish or reddish brown. The stem has no ring. Spore print white.

Microscopic Features: Spores are round and smooth, measuring 8-12碌m in diameter; they lack amyloid properties.

Amanita vaginata on the First Nature Web site.

Amanita vaginata on the MushroomExpert.Com Web site.",amanita_vaginata
destroying_angel,Amanitaceae,"Europe, North America","Cap 5-9 cm diameter, stem 13-20 cm tall * 1.5-2 cm diameter","Amanita virosa, also known as Destroying angel, is a medium-large to large, white fleshy mushroom with a shaggy stalk and volval bag. It grows solitary or scattered on soil in broad-leaf or mixed woods.

Cap white to yellow in colour, at first round to egg-shaped, then flat but often retaining a flat umbo, usually with veil remnants at the margins and without any marginal striations. The flesh is white and firm. Gills white (can turn yellow), free, crowded. Stem long and thread-like and has tufts above the ring and arising from large bag-like vulva often buried deep in the soil. The large ring sits high on the stem and easily breaks and falls off. It is produced by the inner veil. Spore print white.

Microscopic Features: The spores are spherical or subglobose, with a diameter of 7-8 渭m.

Note: The common name Destroying Angel is also used in North America to refer to two other fairly common Amanita species. Amanita bisporigera and Amanita ocreata are typically found in eastern and western North America, respectively.

Amanita virosa on the www.first-nature.com web site.
",amanita_virosa
club_foot,Tricholomataceae,"North America, Europe","Cap 4-8 cm diameter, stem 3-7 cm tall * 1-1.5 cm thick","Ampulloclitocybe clavipes, commonly known as Club Foot is best identified by its club-shaped stem, which is swollen at the base and tapering toward the top and funnel-shaped cap with white girls that extend downward. It grows solitary or in small troops on soil in broad-leaf woods, favouring beech.

Cap convex with a small boss, becoming plane to depressed in shape. It has a smooth surface. Cap colours are generally grey-brown, sometimes tinged olive, with a pale margin. Gills are strongly decurrent and cream-yellow in colour, contrasting with the rest of the mushroom. There are some smaller gills in between the regular gills, and the gills are occasionally forked near the stem. The gill edges are straight in younger mushrooms and sometimes wavy (undulate) in older ones. Flesh white, but slightly yellow at the base. Stem bulbous base, its surface is covered in silky fibres, and it is the same colour as the cap. Spore print white.

Microscopic Details: Spores are smooth, elliptical or ovoid, measuring 6-9 x 4-5碌m. They are hyaline and inamyloid (not staining with iodine).

Synonyms the older name for Ampulloclitocybe clavipes is Clitocybe clavipes.

Ampulloclitocybe clavipes on the www.first-nature.com web site.

Ampulloclitocybe clavipes on the MushroomExpert.Com Web site.",ampulloclitocybe_clavipes
honey_mushroom,Physalacriaceae,"North America, Europe","Cap 3-15 cm diameter, stem 6-15 cm tall * 0.5-1.5 cm thick","Armillaria mellea, also known as Honey Mushroom, is a medium-sized agaric that has a convex, flattened, or wavy, olive-tinged, pale yellow-brown cap with a darker center and sparse pale scales. It grows, midsummer to late fall, densely clustered or in groups, around bases of living or dead trees or stumps of either coniferous or hardwood trees.

Cap convex at first but becoming flattened, often with a central raised umbo, later becoming somewhat dish-shaped. The margins are often arched at maturity and the surface is sticky when wet. The cap colour is honey-yellow when young and fresh, but soon fading to yellowish or brownish, with a darker area near the centre. Fine scales cover the young caps, most noticeably towards the centre. These scales do not always remain evident as the caps reach maturity. The flesh is white, thin and firm. Gills at first white, sometimes becoming pinkish-yellow or discoloured with age, broad and fairly distant, attached to the stipe at right angles or are slightly decurrent, crowded. Stem at first whitish, becoming yellowish or reddish-brown, more or less equal or tapering towards the base, finely wholly. The ring is yellowish, cottony or woolly, superior and fairly persistent. Spore print white. 

Microscopic Features: The spores are ellipsoidal, smooth, and have an apiculus. They measure 7-9 x 5-6渭m and are hyaline with droplets. The spores are inamyloid.

Armillaria mellea on the First Nature Web site.

Armillaria mellea on the MushroomExpert.Com Web site.
",armillaria_mellea
pinecone_tooth,Auriscalpiaceae,"North America, Europe",Cap 1-2 cm diameter; stem 2-6 cm tall * 0.1-0.2 cm diameter,"Auriscalpium vulgare, also known as Pinecone Tooth, is a small to long medium-sized fungus, with a brown cap attached at one side or off the centre of the stem. The long, slender, stem rises from decaying pine cones.

Cap kidney-shaped when young, covered in fine bristles, and pale brown in colour. As it matures, it becomes tough and turns darker brown. The upper side of the cap is brown to dark purplish brown, covered with dark brown fibrils, while the underside is spiny. The flesh of the cap is thin and flexible, with the spines ranging from light to dark brown. Stem Eccentric, often attached right at one edge of the cap, brown, hairy, rigid, joined laterally to the cap, swollen towards the base. Spore print white.

Microscopic Features: The spores measure 3.5-6 碌 and have a broad elliptical to nearly round shape. Initially smooth, they may develop fine spines as they mature. The spores are amyloid, meaning they will stain with iodine.

Auriscalpium vulgare on the First Nature Web site.

Auriscalpium vulgare on the MushroomExpert.Com Web site.",auriscalpium_vulgare
blushing_flagrant_tooth,Bankeraceae,Europe,Cap 5-10 cm diameter; stem 2-5 cm tall * 0.5-2 cm thick,"Bankera fuligineoalba, also known as Blushing Flagrant Tooth, is a medium to large, fleshy to fibrous cap with a spiny under surface. It is dark yellowish-brown at center to yellowish-pink or pinkish-brown on the margin. It becomes much darker and quickly water-soaked in wet weather.

Cap convex at first, becoming flat or depressed at center. Margin thin, in-curved when young, lobed and wavy later. At first pallid, then brown with yellow or red tinges, remaining more pallid at the margin. Pine needles adhere to densely mattered surface fibrils.  The flesh is soft and brittle. Stem white at the apex, becoming dull brownish below, equal or tapered towards the base, downy, sometimes eccentric.

Similar species include Bankera violascens and Sarcodon species that have brown coloured spores.",bankera_fuligineoalba
